Starting_point_id,Dropping_point_id,Weekday,Intercept,Power_0,Power_1,Power_2,Power_3,Power_4,Power_5,Power_6,Power_7
4,1,Saturday,44.879412984463556,-1.7919912139514933e-24,-2.0150128753767147e-18,-1.3311047117960618e-18,-6.866454009730208e-16,-2.1221183312109911e-13,6.756294109586978e-16,-6.401038035619136e-19,1.8938337091677328e-22
4,1,Sunday,28.922015918797307,1.712851812030623e-16,4.1148536374455973e-10,2.0631993207209963e-11,3.9776660267093885e-09,-1.4724791538161256e-11,2.0525252288037794e-14,-1.2615117527080123e-17,2.8703058270345855e-21
4,1,Monday,81.60832466851944,-1.273229248615798e-23,-5.9129321010974245e-19,-8.788794747865099e-18,-4.390781448277275e-15,-1.3195509707370198e-12,3.141119166840417e-15,-2.495810048375334e-18,6.578465994953067e-22
4,1,Tuesday,28.45899662644547,2.7159845870995436e-16,5.033486574875629e-11,3.234282291687145e-11,6.0205339707911765e-09,-2.1172630842294488e-11,2.7967940926971247e-14,-1.6338400073286188e-17,3.550409509666649e-21
4,1,Wednesday,51.125615361722936,-1.506520837708669e-23,2.3326221447170462e-17,-1.0702563247543207e-17,-5.4739143912334415e-15,-1.6908529974777465e-12,4.4110730174891216e-15,-3.7316749518232944e-18,1.0301823783318284e-21
4,1,Thursday,32.62975530732078,2.436162123705203e-16,2.096440970122794e-10,3.2923200379986624e-11,6.547928083032616e-09,-2.3899251884854947e-11,3.26107232512056e-14,-1.9551175024714063e-17,4.332449686360411e-21
4,1,Friday,32.07413870608206,1.7321580621621575e-16,2.413896765968036e-10,2.5701913645884302e-11,5.049691331894055e-09,-1.9857585443445295e-11,2.8913608001959184e-14,-1.8408861226902496e-17,4.32415377441189e-21
4,3,Saturday,48.170950038709606,-4.447519780628716e-24,-5.001034194588491e-18,-3.3036522714635557e-18,-1.7041771821763163e-15,-5.266865120678798e-13,1.3140426440366252e-15,-1.072804724228528e-18,2.8717893577708057e-22
4,3,Sunday,36.457977924512086,5.385442241217802e-17,1.6807236716719323e-10,6.481679566324088e-12,1.2528222981880023e-09,-4.587820620703897e-12,6.306680544617822e-15,-3.812546685928536e-18,8.51538584577165e-22
4,3,Monday,53.59852038573317,-6.953111820770683e-24,-3.2290564460362416e-19,-4.799565497971617e-18,-2.3978080438388766e-15,-7.20607432848809e-13,1.7485424986857648e-15,-1.3988616025171212e-18,3.6864428037940013e-22
4,3,Tuesday,34.61709194985869,9.498055951523926e-17,1.7602581984594317e-11,1.1310590820395196e-11,2.105437105436321e-09,-7.651805260215518e-12,1.044617003608994e-14,-6.2862441897655635e-18,1.4014123738714055e-21
4,3,Wednesday,46.52019125610518,-5.064052955055753e-24,7.840928477753972e-18,-3.597583702631835e-18,-1.8400139546048475e-15,-5.683671937593116e-13,1.4453574566566538e-15,-1.2017868170271897e-18,3.2767419259655857e-22
4,3,Thursday,39.475064334951206,6.033497433059261e-17,5.192130652235238e-11,8.15389149699371e-12,1.6216855993849753e-09,-6.151301404890287e-12,8.688043195332477e-15,-5.3621056152820424e-18,1.2170473600978843e-21
4,3,Friday,36.028633021794214,9.161285944798678e-17,1.2766963355677837e-10,1.359359727542755e-11,2.6707535353568708e-09,-1.0378647870733252e-11,1.4934068177988104e-14,-9.406639625736263e-18,2.1886895518361204e-21
4,5,Saturday,31.527742446629343,-2.5954543890661476e-24,-2.9184707066697366e-18,-1.9279236506818943e-18,-9.945124726063434e-16,-3.0736020886739563e-13,7.909648037552913e-16,-6.652472488522796e-19,1.832195905154445e-22
