Starting_locationID,Dropping_locationID,Weekday,Degree,Intercept,Power_1,Power_2,Power_3,Power_4,Power_5,Power_6,Power_7,Power_8,Power_9,Power_10,Power_11,Power_12,Power_13,Power_14,Power_15,Power_16,Power_17,Power_18,Power_19,Power_20
7,129,Wednesday,6,10.59107861,-5.65E-07,-8.54E-05,4.09E-07,-6.48E-10,4.25E-13,-9.99E-17,,,,,,,,,,,,,,
7,129,Thursday,6,10.74478013,-1.76E-07,-2.96E-05,1.67E-07,-2.84E-10,1.96E-13,-4.79E-17,,,,,,,,,,,,,,
7,129,Friday,4,11.40032949,-0.023067959,6.86E-05,-5.91E-08,1.58E-11,,,,,,,,,,,,,,,,
7,140,Monday,8,4.293345411,5.94E-17,-1.38E-10,1.19E-11,2.30E-09,-8.04E-12,1.06E-14,-6.21E-18,1.36E-21,,,,,,,,,,,,
7,140,Tuesday,6,3.743870008,6.36E-07,0.000113149,7.39E-08,-5.74E-10,5.66E-13,-1.66E-16,,,,,,,,,,,,,,
7,140,Wednesday,4,23.04771208,-0.198362811,0.000804304,-1.04E-06,4.23E-10,,,,,,,,,,,,,,,,
7,140,Thursday,2,9.543324888,0.031252347,-1.66E-05,,,,,,,,,,,,,,,,,,
7,140,Friday,2,5.091298067,0.035017612,-1.58E-05,,,,,,,,,,,,,,,,,,
7,141,Saturday,2,11.10307264,0.001308871,-2.50E-07,,,,,,,,,,,,,,,,,,
7,141,Sunday,16,10.19103607,7.35E-72,-5.83E-41,5.21E-46,2.03E-50,4.18E-53,9.34E-57,5.74E-54,4.55E-51,3.39E-48,2.33E-45,1.40E-42,6.82E-40,2.08E-37,-4.57E-40,3.35E-43,-8.19E-47,,,,
7,145,Saturday,2,8.847634701,-0.002188911,2.29E-06,,,,,,,,,,,,,,,,,,
7,145,Sunday,8,9.990485763,-2.92E-17,2.67E-11,-4.11E-12,-7.69E-10,2.83E-12,-3.88E-15,2.36E-18,-5.31E-22,,,,,,,,,,,,
7,145,Monday,8,9.661807236,-7.92E-19,-8.26E-13,-1.14E-13,-2.14E-11,-4.44E-14,1.94E-16,-1.76E-19,4.88E-23,,,,,,,,,,,,
7,145,Tuesday,18,8.346494268,2.62E-84,3.74E-47,8.86E-52,-3.65E-56,9.20E-80,4.25E-69,2.68E-66,2.30E-63,1.90E-60,1.51E-57,1.13E-54,7.75E-52,4.68E-49,2.27E-46,6.91E-44,-1.55E-46,1.16E-49,-2.89E-53,,
7,145,Wednesday,18,8.708862962,-3.54E-84,-6.55E-47,1.26E-52,-1.03E-56,9.96E-60,-5.46E-69,-3.25E-66,-2.72E-63,-2.20E-60,-1.71E-57,-1.24E-54,-8.33E-52,-4.91E-49,-2.32E-46,-6.89E-44,1.75E-46,-1.46E-49,4.03E-53,,
7,145,Thursday,2,8.953764097,-0.002593916,3.15E-06,,,,,,,,,,,,,,,,,,
7,145,Friday,2,8.323132565,-0.001028707,2.03E-06,,,,,,,,,,,,,,,,,,
